Name,Canal,Division,Circle,Zone,Lat,Long,Structure Type
Head Qasim Wala,Abbasia Feeder,Punjnad Headworks,Bahawalpur,Bahawalpur,28.75977344,70.98225229,Other
VR Bridge,Abbasia Feeder,Punjnad Headworks,Bahawalpur,Bahawalpur,28.75220578,70.95253442,Bridge
VR Bridge & Fall Structure,Abbasia Feeder,Punjnad Headworks,Bahawalpur,Bahawalpur,28.75149026,70.93400854,Fall Structure
VR Bridge,Abbasia Feeder,Punjnad Headworks,Bahawalpur,Bahawalpur,28.75104107,70.92167272,Bridge
Foot Bridge,Abbasia Feeder,Punjnad Headworks,Bahawalpur,Bahawalpur,28.75037794,70.90448277,Bridge
VR Bridge,Abbasia Feeder,Punjnad Headworks,Bahawalpur,Bahawalpur,28.73395984,70.86541384,Bridge
Foot Bridge,Abbasia Feeder,Punjnad Headworks,Bahawalpur,Bahawalpur,28.7234794,70.84289003,Bridge
DRG OUTLET,Abbasia Feeder,Punjnad Headworks,Bahawalpur,Bahawalpur,28.72315733,70.84270122,Outlet
Lower Amir Din Disty,Abbasia Feeder,Punjnad Headworks,Bahawalpur,Bahawalpur,28.70859297,70.78289864,Disty
DRG Outlet,Abbasia Feeder,Punjnad Headworks,Bahawalpur,Bahawalpur,28.7086754,70.78453153,Outlet
DRG Outlet,Abbasia Feeder,Punjnad Headworks,Bahawalpur,Bahawalpur,28.70962882,70.78729437,Outlet
DRG Outlet,Abbasia Feeder,Punjnad Headworks,Bahawalpur,Bahawalpur,28.71391885,70.8052628,Outlet
VR Bridge,Abbasia Feeder,Punjnad Headworks,Bahawalpur,Bahawalpur,28.71683588,70.81560002,Bridge
Railway Bridge,Abbasia Feeder,Punjnad Headworks,Bahawalpur,Bahawalpur,28.70917378,70.7741069,Bridge
Shahi Road Bridge,Abbasia Feeder,Punjnad Headworks,Bahawalpur,Bahawalpur,28.71041464,70.76980993,Bridge
Mangtanwala Feeder,DDC,Sheikhupura,UCC,Lahore,31.63192051,74.1016125,Feeder
Skikhanwala Upper,DDC,Sheikhupura,UCC,Lahore,31.63178138,74.10313772,Other
Fall Structure,DDC,Sheikhupura,UCC,Lahore,31.63155043,74.10253586,Fall Structure
Marh Minor,DDC,Sheikhupura,UCC,Lahore,31.61275809,74.11131603,Minor
Sharif's Bridge,DDC,Sheikhupura,UCC,Lahore,31.58086676,74.13357342,Bridge
Degh Nalah,DDC,Sheikhupura,UCC,Lahore,31.58031505,74.13356678,Other
Burj Attari-Nooray Wala Bridge,DDC,Sheikhupura,UCC,Lahore,31.57525076,74.13326323,Bridge
Foot Bridge,DDC,Sheikhupura,UCC,Lahore,31.54807053,74.11245629,Bridge
Lahore-Abdul Hakeem M3 Motorway Bridge,DDC,Sheikhupura,UCC,Lahore,31.51823407,74.1030055,Bridge
Sheikhupyra-Sharqapur Road Bridge,DDC,Sheikhupura,UCC,Lahore,31.50711522,74.09890855,Bridge
Foot Bridge,DDC,Sheikhupura,UCC,Lahore,31.48940709,74.09118069,Bridge
Lahore-Jaranwala Road Bridge,DDC,Sheikhupura,UCC,Lahore,31.4590852,74.08288183,Bridge
Foot Bridge,DDC,Sheikhupura,UCC,Lahore,31.43278019,74.08137786,Bridge
Pak Pattan Lower Canal Bridge,Pakpattan Canal Lower,W Bar Vehari,Nilibar,Multan,30.04105461,72.19835082,Bridge
10AL Disty,Pakpattan Canal Lower,W Bar Vehari,Nilibar,Multan,30.02803403,72.151577,Disty
8R Disty,Pakpattan Canal Lower,W Bar Vehari,Nilibar,Multan,30.02846587,72.1512414,Disty
VR Bridge & Fall Structure,Pakpattan Canal Lower,W Bar Vehari,Nilibar,Multan,30.0283002,72.15137005,Fall Structure
VR Bridge,Pakpattan Canal Lower,W Bar Vehari,Nilibar,Multan,30.00518648,72.11004727,Bridge
11L Disty,Pakpattan Canal Lower,W Bar Vehari,Nilibar,Multan,29.99453191,72.09276362,Disty
VR Bridge & Fall Structure,Pakpattan Canal Lower,W Bar Vehari,Nilibar,Multan,29.99418021,72.09143275,Fall Structure
VR Bridge,Pakpattan Canal Lower,W Bar Vehari,Nilibar,Multan,29.98644762,72.07047928,Bridge
8R Disty,Pakpattan Canal Lower,W Bar Vehari,Nilibar,Multan,29.98094727,72.05406359,Disty
11L Disty,Pakpattan Canal Lower,W Bar Vehari,Nilibar,Multan,29.97433194,72.03798147,Disty
1R/11L Minor,Pakpattan Canal Lower,W Bar Vehari,Nilibar,Multan,29.974549,72.03790252,Minor
Foot Bridge,Pakpattan Canal Lower,W Bar Vehari,Nilibar,Multan,29.96803714,72.02602257,Bridge
VR Bridge,Pakpattan Canal Lower,W Bar Vehari,Nilibar,Multan,29.96556073,72.02190016,Bridge
VR Bridge,Pakpattan Canal Lower,W Bar Vehari,Nilibar,Multan,29.94827329,71.98956535,Bridge
9R Disty,Pakpattan Canal Lower,W Bar Vehari,Nilibar,Multan,29.94983245,71.97708638,Disty
11AL Disty,Pakpattan Canal Lower,W Bar Vehari,Nilibar,Multan,29.94925108,71.97710971,Disty
VR Bridge & Fall Structure,Pakpattan Canal Lower,W Bar Vehari,Nilibar,Multan,29.94952792,71.97716527,Fall Structure
Mailsi Road Bridge,Pakpattan Canal Lower,W Bar Vehari,Nilibar,Multan,29.95323498,71.93003031,Bridge
12L Disty,Pakpattan Canal Lower,W Bar Vehari,Nilibar,Multan,29.94851506,71.91519093,Disty
Tail Disty,Pakpattan Canal Lower,W Bar Vehari,Nilibar,Multan,29.94851928,71.91505157,Disty
10R Disty,Pakpattan Canal Lower,W Bar Vehari,Nilibar,Multan,29.94869528,71.91502381,Disty
Mailsi Canal Bridge,Mailsi Canal,Lodhran,Mailsi Canal,Multan,29.88951913,72.20001896,Bridge
Dhamaki Disty,Mailsi Canal,Lodhran,Mailsi Canal,Multan,29.88973977,72.19969582,Disty
Mailsi Disty,Mailsi Canal,Lodhran,Mailsi Canal,Multan,29.88902627,72.20022478,Disty
VR BRIDGE & Fall Structure,Mailsi Canal,Lodhran,Mailsi Canal,Multan,29.8703575,72.17559608,Fall Structure
Mitroo Road Bridge,Mailsi Canal,Lodhran,Mailsi Canal,Multan,29.84436937,72.15192235,Bridge
VR Bridge,Mailsi Canal,Lodhran,Mailsi Canal,Multan,29.8426909,72.15035129,Bridge
Tail Chiragh Disty,Mailsi Canal,Lodhran,Mailsi Canal,Multan,29.82817165,72.13449642,Disty
Bassi Disty,Mailsi Canal,Lodhran,Mailsi Canal,Multan,29.82753457,72.13459867,Disty
Dhamaki Road Bridge,Mailsi Canal,Lodhran,Mailsi Canal,Multan,29.82795694,72.13478526,Bridge
VR Bridge,Mailsi Canal,Lodhran,Mailsi Canal,Multan,29.81552393,72.11136835,Bridge
VR Bridge,Mailsi Canal,Lodhran,Mailsi Canal,Multan,29.78577381,72.07520646,Bridge
DRG Outlet,Mailsi Canal,Lodhran,Mailsi Canal,Multan,29.78569812,72.07549641,Outlet
VR Bridge,Mailsi Canal,Lodhran,Mailsi Canal,Multan,29.78374377,72.07273621,Bridge
VR Bridge,Mailsi Canal,Lodhran,Mailsi Canal,Multan,29.76538069,72.03029043,Bridge
Sabz Disty,Mailsi Canal,Lodhran,Mailsi Canal,Multan,29.74859199,71.97712885,Disty
Jamala Disty,Mailsi Canal,Lodhran,Mailsi Canal,Multan,29.74861944,71.97540655,Disty
Gopal Disty,Mailsi Canal,Lodhran,Mailsi Canal,Multan,29.74772734,71.97486965,Disty
Chit Dain Branch,Mailsi Canal,Lodhran,Mailsi Canal,Multan,29.74798753,71.97444206,Branch Canal
Lodhran Branch,Mailsi Canal,Lodhran,Mailsi Canal,Multan,29.74773037,71.97510982,Branch Canal
VR Bridge,Mailsi Canal,Lodhran,Mailsi Canal,Multan,29.74800821,71.9748372,Bridge
VR Bridge,Lower Bahawal Canal,Bahawalpur,Bahawalpur,Bahawalpur,29.55796402,72.19487998,Bridge
Foot Bridge,Lower Bahawal Canal,Bahawalpur,Bahawalpur,Bahawalpur,29.54236491,72.17076521,Bridge
1-R/D.B Disty,Lower Bahawal Canal,Bahawalpur,Bahawalpur,Bahawalpur,29.54021469,72.16715671,Disty
DRG Outlet,Lower Bahawal Canal,Bahawalpur,Bahawalpur,Bahawalpur,29.52815041,72.15066595,Outlet
Railway Bridge,Lower Bahawal Canal,Bahawalpur,Bahawalpur,Bahawalpur,29.52523707,72.14994581,Bridge
Foot Bridge,Lower Bahawal Canal,Bahawalpur,Bahawalpur,Bahawalpur,29.51913047,72.14317371,Bridge
VR Bridge,Lower Bahawal Canal,Bahawalpur,Bahawalpur,Bahawalpur,29.50233217,72.10922753,Bridge
VR Bridge,Lower Bahawal Canal,Bahawalpur,Bahawalpur,Bahawalpur,29.47998942,72.04809203,Bridge
2-R/Bahawal Canal Disty,Lower Bahawal Canal,Bahawalpur,Bahawalpur,Bahawalpur,29.46166649,72.00295242,Disty
Forest Disty,Lower Bahawal Canal,Bahawalpur,Bahawalpur,Bahawalpur,29.45039822,71.98898213,Disty
Desert Branch,Lower Bahawal Canal,Bahawalpur,Bahawalpur,Bahawalpur,29.44671807,71.98362729,Branch Canal
3-L/B.C.Disty,Lower Bahawal Canal,Bahawalpur,Bahawalpur,Bahawalpur,29.44671782,71.98336195,Disty
Ahmedpur Branch,Lower Bahawal Canal,Bahawalpur,Bahawalpur,Bahawalpur,29.44684992,71.98326582,Branch Canal
VR Bridge,Lower Bahawal Canal,Bahawalpur,Bahawalpur,Bahawalpur,29.4469793,71.9833763,Bridge
Head Regulator Thal Canal,Thal Canal Mainline Upper,Kalabagh,Thal,Sargodha,32.91586537,71.5277564,Regulator
VR Bridge & Fall Structure,Thal Canal Mainline Upper,Kalabagh,Thal,Sargodha,32.9126672,71.53378222,Fall Structure
