Sr. No.,Structure Name/Gate No,Division,Circle,Zone,Inspection Year,Inspection Type,Issue/Problem,Recommendation,"Rectification/
Action Taken",Condition,Domain,Latitude ,Longitude,Inspection Type Inspection Year
1,Main Weir-1,Sidhnai Headworks Division,Trimmu Canal Circle,Multan,2022-2023,Closure,Local control panels were dusty & there was no ammeter or voltmeter for monitoring of current and voltage. ,LCP’s equipment was old and need to be upgraded. ,,N.M,E&I,30.57342,72.158104,Closure 2022-2023
2,Main Weir-2,Sidhnai Headworks Division,Trimmu Canal Circle,Multan,2022-2023,Closure,Local control panels were dusty & there was no ammeter or voltmeter for monitoring of current and voltage. ,LCP’s equipment was old and need to be upgraded. ,,N.M,E&I,30.57336,72.158113,Closure 2022-2023
3,Main Weir-3,Sidhnai Headworks Division,Trimmu Canal Circle,Multan,2022-2023,Closure,Local control panels were dusty & there was no ammeter or voltmeter for monitoring of current and voltage. ,LCP’s equipment was old and need to be upgraded. ,,N.M,E&I,30.573197,72.158026,Closure 2022-2023
4,Main Weir-4,Sidhnai Headworks Division,Trimmu Canal Circle,Multan,2022-2023,Closure,Abnormal sound was observed in the electric motor. Local control panels were dusty & there was no ammeter or voltmeter for monitoring of current and voltage. ,Operation of electric motor at gate no. 4  should be closely observed and overhaul/rectification may be carried out accordingly. LCP’s equipment was old and need to be upgraded. ,,N.M,E&I,30.573032,72.157996,Closure 2022-2023
5,Main Weir-5,Sidhnai Headworks Division,Trimmu Canal Circle,Multan,2022-2023,Closure,Local control panels were dusty & there was no ammeter or voltmeter for monitoring of current and voltage. ,LCP’s equipment was old and need to be upgraded. ,,N.M,E&I,30.572878,72.157875,Closure 2022-2023
6,Main Weir-6,Sidhnai Headworks Division,Trimmu Canal Circle,Multan,2022-2023,Closure,Local control panels were dusty & there was no ammeter or voltmeter for monitoring of current and voltage. ,LCP’s equipment was old and need to be upgraded. ,,N.M,E&I,30.572649,72.157785,Closure 2022-2023
7,Main Weir-7,Sidhnai Headworks Division,Trimmu Canal Circle,Multan,2022-2023,Closure,Local control panels were dusty & there was no ammeter or voltmeter for monitoring of current and voltage. ,LCP’s equipment was old and need to be upgraded. ,,N.M,E&I,30.572637,72.157779,Closure 2022-2023
8,Main Weir-8,Sidhnai Headworks Division,Trimmu Canal Circle,Multan,2022-2023,Closure,Local control panels were dusty & there was no ammeter or voltmeter for monitoring of current and voltage. ,LCP’s equipment was old and need to be upgraded. ,,N.M,E&I,30.572585,72.157785,Closure 2022-2023
9,Main Weir-9,Sidhnai Headworks Division,Trimmu Canal Circle,Multan,2022-2023,Closure,Local control panels were dusty & there was no ammeter or voltmeter for monitoring of current and voltage. ,LCP’s equipment was old and need to be upgraded. ,,N.M,E&I,30.572883,72.157192,Closure 2022-2023
10,Main Weir-10,Sidhnai Headworks Division,Trimmu Canal Circle,Multan,2022-2023,Closure,Local control panels were dusty & there was no ammeter or voltmeter for monitoring of current and voltage. ,LCP’s equipment was old and need to be upgraded. ,,N.M,E&I,30.572293,72.157586,Closure 2022-2023
